theta (deg) 	 time (s) 	 elevationAng (deg) 	 Wcraft (deg/s) 	 alpha (deg/s^2)
66.1	0.0	0.0
66.3	3.58	0.238	0.0666
66.5	7.16	0.479	0.06727	0.000178
66.8	10.74	0.721	0.06792	0.000183
67.0	14.32	0.967	0.06859	0.000188
67.2	17.9	1.214	0.06928	0.000194
67.5	21.48	1.465	0.07	0.000199
67.7	25.06	1.718	0.07073	0.000205
68.0	28.64	1.973	0.07149	0.000212
68.2	32.22	2.231	0.07227	0.000218
68.4	35.8	2.493	0.07307	0.000225
68.7	39.38	2.757	0.0739	0.000232
68.9	42.96	3.024	0.07475	0.000239
69.1	46.54	3.294	0.07563	0.000246
69.4	50.12	3.568	0.07654	0.000254
69.6	53.7	3.845	0.07748	0.000262
69.8	57.28	4.126	0.07845	0.000271
70.1	60.86	4.41	0.07945	0.00028
70.3	64.44	4.697	0.08048	0.000289
70.6	68.02	4.989	0.08155	0.000299
70.8	71.6	5.284	0.08265	0.000309
71.0	75.18	5.584	0.08379	0.000319
71.3	78.76	5.888	0.08497	0.00033
71.5	82.34	6.196	0.0862	0.000342
71.7	85.92	6.508	0.08746	0.000354
72.0	89.5	6.826	0.08877	0.000366
72.2	93.08	7.148	0.09013	0.00038
72.5	96.66	7.475	0.09153	0.000393
72.7	100.24	7.808	0.09299	0.000408
72.9	103.82	8.146	0.0945	0.000423
73.2	107.4	8.489	0.09607	0.000439
73.4	110.98	8.838	0.0977	0.000455
73.6	114.56	9.194	0.09939	0.000473
73.9	118.14	9.555	0.10115	0.000491
74.1	121.72	9.923	0.10297	0.00051
74.4	125.3	10.298	0.10487	0.000531
74.6	128.88	10.68	0.10684	0.000552
74.8	132.46	11.07	0.1089	0.000574
75.1	136.04	11.466	0.11103	0.000598
75.3	139.62	11.871	0.11326	0.000623
75.5	143.2	12.285	0.11558	0.000649
75.8	146.78	12.706	0.118	0.000676
76.0	150.36	13.137	0.12052	0.000705
76.2	153.94	13.578	0.12315	0.000736
76.5	157.52	14.028	0.1259	0.000768
76.7	161.1	14.488	0.12877	0.000802
77.0	164.68	14.959	0.13176	0.000839
77.2	168.26	15.441	0.1349	0.000877
77.4	171.84	15.935	0.13818	0.000917
77.7	175.42	16.442	0.14161	0.00096
77.9	179.0	16.961	0.1452	0.001005
78.1	182.58	17.493	0.14896	0.001053
78.4	186.16	18.04	0.15291	0.001103
78.6	189.74	18.601	0.15704	0.001157
78.9	193.32	19.178	0.16138	0.001214
79.1	196.9	19.772	0.16594	0.001274
79.3	200.48	20.382	0.17073	0.001339
79.6	204.06	21.01	0.17575	0.001407
79.8	207.64	21.657	0.18104	0.001479
80.0	211.22	22.325	0.1866	0.001556
80.3	214.8	23.013	0.19245	0.001637
80.5	218.38	23.723	0.19862	0.001724
80.8	221.96	24.456	0.20511	0.001816
81.0	225.54	25.214	0.21195	0.001913
81.2	229.12	25.997	0.21916	0.002017
81.5	232.7	26.808	0.22676	0.002127
81.7	236.28	27.647	0.23478	0.002244
81.9	239.86	28.517	0.24325	0.002368
82.2	243.44	29.418	0.25218	0.002499
82.4	247.02	30.354	0.26161	0.002638
82.7	250.6	31.324	0.27157	0.002785
82.9	254.18	32.333	0.28208	0.00294
83.1	257.76	33.381	0.29318	0.003104
83.4	261.34	34.471	0.30489	0.003276
83.6	264.92	35.605	0.31724	0.003456
83.8	268.5	36.786	0.33027	0.003644
84.1	272.08	38.016	0.344	0.003841
84.3	275.66	39.297	0.35846	0.004044
84.5	279.24	40.633	0.37366	0.004253
84.8	282.82	42.026	0.38963	0.004467
85.0	286.4	43.479	0.40638	0.004684
85.3	289.98	44.994	0.4239	0.004901
85.5	293.56	46.575	0.44219	0.005116
85.7	297.14	48.224	0.46123	0.005325
86.0	300.72	49.943	0.48097	0.005524
86.2	304.3	51.736	0.50137	0.005707
86.4	307.88	53.603	0.52235	0.005868
86.7	311.46	55.547	0.5438	0.006
86.9	315.04	57.569	0.56559	0.006095
87.2	318.62	59.67	0.58756	0.006145
87.4	322.2	61.849	0.60951	0.00614
87.6	325.78	64.106	0.63122	0.006072
87.9	329.36	66.438	0.65242	0.005931
88.1	332.94	68.843	0.67283	0.00571
88.3	336.52	71.318	0.69214	0.005401
88.6	340.1	73.856	0.71002	0.005
88.8	343.68	76.452	0.72613	0.004507
89.1	347.26	79.098	0.74016	0.003923
89.3	350.84	81.786	0.75179	0.003255
89.5	354.42	84.506	0.76077	0.002512
89.8	358.0	87.247	0.76689	0.00171
90.0	361.58	90.0	0.76998	0.000866
