theta (deg) 	 time (s) 	 elevationAng (deg) 	 Wcraft (deg/s) 	 alpha (deg/s^2)
69.3	0.0	0.0
69.5	2.99	0.206	0.0688
69.7	5.98	0.414	0.06952	0.000223
69.9	8.97	0.624	0.0702	0.00023
70.1	11.96	0.836	0.07091	0.000236
70.3	14.95	1.051	0.07164	0.000243
70.5	17.94	1.267	0.07239	0.000251
70.7	20.93	1.486	0.07316	0.000258
70.9	23.92	1.707	0.07396	0.000266
71.1	26.91	1.931	0.07478	0.000274
71.3	29.9	2.157	0.07563	0.000283
71.5	32.89	2.386	0.0765	0.000292
71.8	35.88	2.618	0.0774	0.000301
72.0	38.87	2.852	0.07833	0.000311
72.2	41.86	3.09	0.07929	0.000321
72.4	44.85	3.33	0.08028	0.000332
72.6	47.84	3.573	0.08131	0.000343
72.8	50.83	3.819	0.08237	0.000354
73.0	53.82	4.069	0.08346	0.000366
73.2	56.81	4.322	0.0846	0.000379
73.4	59.8	4.579	0.08577	0.000392
73.6	62.79	4.839	0.08698	0.000405
73.8	65.78	5.103	0.08824	0.00042
74.0	68.77	5.371	0.08954	0.000435
74.2	71.76	5.643	0.09088	0.00045
74.4	74.75	5.919	0.09228	0.000467
74.6	77.74	6.2	0.09373	0.000484
74.8	80.73	6.485	0.09523	0.000502
75.0	83.72	6.774	0.09679	0.000521
75.2	86.71	7.069	0.09841	0.000541
75.4	89.7	7.368	0.10009	0.000562
75.6	92.69	7.673	0.10184	0.000584
75.9	95.68	7.983	0.10366	0.000607
76.1	98.67	8.299	0.10555	0.000631
76.3	101.66	8.621	0.10751	0.000657
76.5	104.65	8.948	0.10956	0.000684
76.7	107.64	9.283	0.11169	0.000713
76.9	110.63	9.623	0.11391	0.000743
77.1	113.62	9.971	0.11623	0.000774
77.3	116.61	10.326	0.11864	0.000808
77.5	119.6	10.689	0.12117	0.000843
77.7	122.59	11.059	0.1238	0.00088
77.9	125.58	11.438	0.12655	0.00092
78.1	128.57	11.825	0.12943	0.000961
78.3	131.56	12.221	0.13244	0.001006
78.5	134.55	12.627	0.13559	0.001052
78.7	137.54	13.043	0.13888	0.001102
78.9	140.53	13.468	0.14234	0.001155
79.1	143.52	13.905	0.14596	0.001211
79.3	146.51	14.353	0.14976	0.00127
79.5	149.5	14.813	0.15375	0.001334
79.7	152.49	15.286	0.15794	0.001401
80.0	155.48	15.772	0.16235	0.001473
80.2	158.47	16.271	0.16699	0.001549
80.4	161.46	16.786	0.17186	0.00163
80.6	164.45	17.315	0.177	0.001717
80.8	167.44	17.861	0.18242	0.00181
81.0	170.43	18.424	0.18813	0.001909
81.2	173.42	19.005	0.19416	0.002015
81.4	176.41	19.605	0.20053	0.002128
81.6	179.4	20.225	0.20726	0.002249
81.8	182.39	20.866	0.21437	0.002379
82.0	185.38	21.53	0.22191	0.002518
82.2	188.37	22.218	0.22989	0.002667
82.4	191.36	22.931	0.23835	0.002827
82.6	194.35	23.672	0.24732	0.002998
82.8	197.34	24.44	0.25684	0.003182
83.0	200.33	25.239	0.26695	0.003379
83.2	203.32	26.07	0.27769	0.00359
83.4	206.31	26.935	0.28911	0.003817
83.6	209.3	27.836	0.30126	0.00406
83.8	212.29	28.776	0.31419	0.004321
84.1	215.28	29.757	0.32795	0.0046
84.3	218.27	30.783	0.34261	0.004899
84.5	221.26	31.854	0.35823	0.005219
84.7	224.25	32.976	0.37486	0.005559
84.9	227.24	34.151	0.39258	0.005921
85.1	230.23	35.382	0.41145	0.006306
85.3	233.22	36.673	0.43153	0.006712
85.5	236.21	38.028	0.45289	0.00714
85.7	239.2	39.451	0.4756	0.007588
85.9	242.19	40.946	0.49969	0.008053
86.1	245.18	42.518	0.52522	0.008533
86.3	248.17	44.17	0.55222	0.009021
86.5	251.16	45.908	0.58068	0.009512
86.7	254.15	47.735	0.61059	0.009997
86.9	257.14	49.655	0.6419	0.010463
87.1	260.13	51.674	0.6745	0.010897
87.3	263.12	53.793	0.70826	0.011282
87.5	266.11	56.016	0.74296	0.011596
87.7	269.1	58.345	0.77832	0.011817
87.9	272.09	60.78	0.81398	0.011918
88.2	275.08	63.322	0.8495	0.011871
88.4	278.07	65.968	0.88435	0.011648
88.6	281.06	68.715	0.91793	0.011223
88.8	284.05	71.556	0.94956	0.010573
89.0	287.04	74.484	0.97854	0.009684
89.2	290.03	77.488	1.00412	0.008551
89.4	293.02	80.557	1.02561	0.007181
89.6	296.01	83.676	1.04236	0.005598
89.8	299.0	86.829	1.05385	0.003838
90.0	301.99	90.0	1.05969	0.001952
