theta (deg) 	 time (s) 	 elevationAng (deg) 	 Wcraft (deg/s) 	 alpha (deg/s^2)
70.2	0.0	-0.0
70.4	2.84	0.197	0.0694
70.6	5.68	0.396	0.0701	0.000238
70.8	8.52	0.597	0.07079	0.000245
71.0	11.36	0.799	0.07151	0.000253
71.2	14.2	1.004	0.07225	0.00026
71.4	17.04	1.211	0.07301	0.000268
71.6	19.88	1.421	0.07379	0.000276
71.8	22.72	1.632	0.0746	0.000285
72.0	25.56	1.846	0.07543	0.000293
72.2	28.4	2.063	0.07629	0.000303
72.4	31.24	2.281	0.07717	0.000312
72.6	34.08	2.503	0.07809	0.000322
72.8	36.92	2.727	0.07903	0.000333
73.0	39.76	2.954	0.08001	0.000343
73.1	42.6	3.184	0.08101	0.000355
73.3	45.44	3.417	0.08205	0.000367
73.5	48.28	3.652	0.08313	0.000379
73.7	51.12	3.891	0.08424	0.000392
73.9	53.96	4.133	0.08539	0.000405
74.1	56.8	4.379	0.08658	0.00042
74.3	59.64	4.628	0.08781	0.000434
74.5	62.48	4.881	0.08909	0.00045
74.7	65.32	5.137	0.09041	0.000466
74.9	68.16	5.397	0.09178	0.000483
75.1	71.0	5.662	0.0932	0.000501
75.3	73.84	5.93	0.09467	0.000519
75.5	76.68	6.203	0.0962	0.000539
75.7	79.52	6.48	0.09778	0.000559
75.9	82.36	6.762	0.09943	0.000581
76.1	85.2	7.049	0.10114	0.000603
76.3	88.04	7.341	0.10292	0.000627
76.5	90.88	7.638	0.10477	0.000652
76.7	93.72	7.941	0.1067	0.000679
76.9	96.56	8.249	0.1087	0.000706
77.1	99.4	8.564	0.11079	0.000736
77.3	102.24	8.884	0.11296	0.000767
77.5	105.08	9.211	0.11523	0.000799
77.7	107.92	9.544	0.11759	0.000834
77.9	110.76	9.885	0.12006	0.00087
78.0	113.6	10.233	0.12264	0.000908
78.2	116.44	10.588	0.12533	0.000949
78.4	119.28	10.952	0.12814	0.000992
78.6	122.12	11.323	0.13108	0.001037
78.8	124.96	11.704	0.13416	0.001086
79.0	127.8	12.094	0.13739	0.001137
79.2	130.64	12.493	0.14077	0.001191
79.4	133.48	12.902	0.14431	0.001249
79.6	136.32	13.322	0.14803	0.001311
79.8	139.16	13.753	0.15193	0.001376
80.0	142.0	14.196	0.15603	0.001445
80.2	144.84	14.65	0.16034	0.001519
80.4	147.68	15.118	0.16487	0.001598
80.6	150.52	15.599	0.16964	0.001683
80.8	153.36	16.095	0.17467	0.001773
81.0	156.2	16.605	0.17997	0.001869
81.2	159.04	17.131	0.18556	0.001971
81.4	161.88	17.674	0.19147	0.002081
81.6	164.72	18.235	0.1977	0.002199
81.8	167.56	18.815	0.2043	0.002325
82.0	170.4	19.414	0.21128	0.00246
82.2	173.24	20.034	0.21867	0.002606
82.4	176.08	20.676	0.2265	0.002761
82.6	178.92	21.342	0.23481	0.002929
82.7	181.76	22.033	0.24362	0.003109
82.9	184.6	22.751	0.25299	0.003302
83.1	187.44	23.497	0.26295	0.00351
83.3	190.28	24.273	0.27354	0.003734
83.5	193.12	25.081	0.28482	0.003976
83.7	195.96	25.922	0.29683	0.004235
83.9	198.8	26.801	0.30963	0.004515
84.1	201.64	27.718	0.32329	0.004816
84.3	204.48	28.676	0.33787	0.005139
84.5	207.32	29.678	0.35343	0.005487
84.7	210.16	30.728	0.37005	0.00586
84.9	213.0	31.828	0.38781	0.006261
85.1	215.84	32.982	0.40678	0.00669
85.3	218.68	34.193	0.42706	0.007148
85.5	221.52	35.466	0.44871	0.007635
85.7	224.36	36.804	0.47184	0.008153
85.9	227.2	38.212	0.49651	0.008699
86.1	230.04	39.695	0.52281	0.009272
86.3	232.88	41.257	0.5508	0.009869
86.5	235.72	42.904	0.58053	0.010484
86.7	238.56	44.64	0.61205	0.011111
86.9	241.4	46.47	0.64535	0.01174
87.1	244.24	48.4	0.6804	0.012358
87.3	247.08	50.434	0.71712	0.012947
87.5	249.92	52.577	0.75537	0.013487
87.6	252.76	54.831	0.79494	0.013951
87.8	255.6	57.201	0.83553	0.01431
88.0	258.44	59.688	0.87674	0.014528
88.2	261.28	62.292	0.91806	0.014568
88.4	264.12	65.011	0.95887	0.01439
88.6	266.96	67.843	0.99845	0.013955
88.8	269.8	70.782	1.03597	0.013228
89.0	272.64	73.818	1.07053	0.012186
89.2	275.48	76.941	1.10121	0.010816
89.4	278.32	80.138	1.12709	0.009125
89.6	281.16	83.392	1.14734	0.00714
89.8	284.0	86.686	1.16127	0.004909
90.0	286.84	90.0	1.16836	0.002501
