theta (deg) 	 time (s) 	 elevationAng (deg) 	 Wcraft (deg/s) 	 alpha (deg/s^2)
68.9	0.0	0.0
69.1	3.07	0.21	0.0686
69.3	6.14	0.423	0.06923	0.000216
69.5	9.21	0.637	0.06991	0.000222
69.7	12.28	0.854	0.07061	0.000229
69.9	15.35	1.073	0.07134	0.000236
70.1	18.42	1.294	0.07208	0.000243
70.3	21.49	1.518	0.07285	0.00025
70.5	24.56	1.743	0.07364	0.000258
70.7	27.63	1.972	0.07446	0.000266
70.9	30.7	2.203	0.0753	0.000274
71.2	33.77	2.437	0.07617	0.000283
71.4	36.84	2.673	0.07706	0.000292
71.6	39.91	2.912	0.07798	0.000301
71.8	42.98	3.155	0.07894	0.000311
72.0	46.05	3.4	0.07992	0.000321
72.2	49.12	3.648	0.08094	0.000332
72.4	52.19	3.9	0.08199	0.000343
72.6	55.26	4.155	0.08308	0.000354
72.8	58.33	4.413	0.0842	0.000366
73.0	61.4	4.675	0.08537	0.000379
73.3	64.47	4.941	0.08657	0.000392
73.5	67.54	5.21	0.08782	0.000406
73.7	70.61	5.483	0.08911	0.000421
73.9	73.68	5.761	0.09044	0.000436
74.1	76.75	6.043	0.09183	0.000452
74.3	79.82	6.329	0.09327	0.000468
74.5	82.89	6.62	0.09476	0.000486
74.7	85.96	6.915	0.0963	0.000504
74.9	89.03	7.215	0.09791	0.000523
75.1	92.1	7.521	0.09957	0.000543
75.3	95.17	7.832	0.10131	0.000564
75.6	98.24	8.148	0.10311	0.000587
75.8	101.31	8.47	0.10498	0.00061
76.0	104.38	8.798	0.10693	0.000635
76.2	107.45	9.133	0.10895	0.000661
76.4	110.52	9.473	0.11106	0.000688
76.6	113.59	9.821	0.11326	0.000717
76.8	116.66	10.175	0.11556	0.000747
77.0	119.73	10.537	0.11795	0.000779
77.2	122.8	10.907	0.12044	0.000813
77.4	125.87	11.284	0.12305	0.000849
77.6	128.94	11.67	0.12577	0.000887
77.9	132.01	12.065	0.12861	0.000927
78.1	135.08	12.469	0.13159	0.000969
78.3	138.15	12.882	0.1347	0.001014
78.5	141.22	13.305	0.13796	0.001062
78.7	144.29	13.739	0.14137	0.001112
78.9	147.36	14.184	0.14495	0.001166
79.1	150.43	14.64	0.1487	0.001223
79.3	153.5	15.108	0.15264	0.001283
79.5	156.57	15.589	0.15677	0.001348
79.7	159.64	16.084	0.16112	0.001416
80.0	162.71	16.592	0.16568	0.001489
80.2	165.78	17.115	0.17049	0.001566
80.4	168.85	17.654	0.17555	0.001649
80.6	171.92	18.209	0.18088	0.001737
80.8	174.99	18.781	0.1865	0.001832
81.0	178.06	19.371	0.19243	0.001932
81.2	181.13	19.981	0.19869	0.00204
81.4	184.2	20.611	0.2053	0.002155
81.6	187.27	21.262	0.21228	0.002277
81.8	190.34	21.936	0.21968	0.002409
82.0	193.41	22.634	0.2275	0.00255
82.3	196.48	23.358	0.23578	0.0027
82.5	199.55	24.108	0.24457	0.002862
82.7	202.62	24.887	0.25388	0.003035
82.9	205.69	25.696	0.26376	0.00322
83.1	208.76	26.538	0.27425	0.003419
83.3	211.83	27.414	0.28539	0.003631
83.5	214.9	28.326	0.29723	0.003859
83.7	217.97	29.276	0.30981	0.004102
83.9	221.04	30.268	0.3232	0.004362
84.1	224.11	31.303	0.33743	0.00464
84.3	227.18	32.385	0.35258	0.004936
84.6	230.25	33.516	0.36869	0.00525
84.8	233.32	34.7	0.38582	0.005584
85.0	236.39	35.94	0.40404	0.005937
85.2	239.46	37.239	0.4234	0.006309
85.4	242.53	38.601	0.44395	0.0067
85.6	245.6	40.03	0.46576	0.007106
85.8	248.67	41.53	0.48885	0.007527
86.0	251.74	43.105	0.51327	0.007958
86.2	254.81	44.759	0.53903	0.008395
86.4	257.88	46.496	0.56612	0.008831
86.7	260.95	48.32	0.59453	0.009257
86.9	264.02	50.235	0.62418	0.009664
87.1	267.09	52.245	0.65498	0.010038
87.3	270.16	54.352	0.68677	0.010363
87.5	273.23	56.559	0.71936	0.010621
87.7	276.3	58.868	0.75247	0.010791
87.9	279.37	61.279	0.78576	0.01085
88.1	282.44	63.791	0.81882	0.010775
88.3	285.51	66.403	0.85116	0.010541
88.5	288.58	69.11	0.88223	0.010127
88.7	291.65	71.906	0.91142	0.009514
89.0	294.72	74.784	0.93809	0.008692
89.2	297.79	77.735	0.96159	0.007657
89.4	300.86	80.746	0.98128	0.006419
89.6	303.93	83.803	0.99661	0.004996
89.8	307.0	86.894	1.00711	0.003421
90.0	310.07	90.0	1.01244	0.001739
