theta (deg) 	 time (s) 	 elevationAng (deg) 	 Wcraft (deg/s) 	 alpha (deg/s^2)
66.8	0.0	0.0
67.0	3.43	0.231	0.0672
67.3	6.86	0.464	0.06782	0.000187
67.5	10.29	0.699	0.06848	0.000193
67.7	13.72	0.936	0.06916	0.000198
68.0	17.15	1.176	0.06986	0.000204
68.2	20.58	1.419	0.07058	0.00021
68.4	24.01	1.664	0.07133	0.000217
68.6	27.44	1.911	0.07209	0.000223
68.9	30.87	2.161	0.07288	0.00023
69.1	34.3	2.414	0.07369	0.000237
69.3	37.73	2.67	0.07453	0.000244
69.6	41.16	2.929	0.0754	0.000252
69.8	44.59	3.191	0.07629	0.00026
70.0	48.02	3.457	0.07721	0.000268
70.3	51.45	3.725	0.07816	0.000277
70.5	54.88	3.997	0.07915	0.000286
70.7	58.31	4.272	0.08016	0.000295
70.9	61.74	4.551	0.08121	0.000305
71.2	65.17	4.834	0.08229	0.000315
71.4	68.6	5.12	0.08341	0.000326
71.6	72.03	5.411	0.08457	0.000337
71.9	75.46	5.705	0.08577	0.000349
72.1	78.89	6.004	0.08701	0.000361
72.3	82.32	6.307	0.0883	0.000374
72.6	85.75	6.615	0.08963	0.000388
72.8	89.18	6.927	0.091	0.000402
73.0	92.61	7.245	0.09243	0.000416
73.2	96.04	7.567	0.09392	0.000432
73.5	99.47	7.895	0.09545	0.000448
73.7	102.9	8.229	0.09705	0.000465
73.9	106.33	8.568	0.09871	0.000482
74.2	109.76	8.912	0.10043	0.000501
74.4	113.19	9.264	0.10222	0.000521
74.6	116.62	9.621	0.10408	0.000541
74.8	120.05	9.985	0.10601	0.000563
75.1	123.48	10.356	0.10802	0.000586
75.3	126.91	10.734	0.11011	0.00061
75.5	130.34	11.12	0.11229	0.000635
75.8	133.77	11.513	0.11457	0.000661
76.0	137.2	11.915	0.11693	0.00069
76.2	140.63	12.325	0.1194	0.000719
76.5	144.06	12.744	0.12198	0.00075
76.7	147.49	13.172	0.12467	0.000783
76.9	150.92	13.61	0.12748	0.000818
77.1	154.35	14.058	0.13041	0.000855
77.4	157.78	14.516	0.13348	0.000894
77.6	161.21	14.985	0.13669	0.000935
77.8	164.64	15.466	0.14005	0.000978
78.1	168.07	15.96	0.14357	0.001025
78.3	171.5	16.465	0.14726	0.001073
78.5	174.93	16.984	0.15112	0.001125
78.7	178.36	17.517	0.15518	0.00118
79.0	181.79	18.065	0.15943	0.001239
79.2	185.22	18.628	0.1639	0.001301
79.4	188.65	19.207	0.16859	0.001366
79.7	192.08	19.803	0.17352	0.001436
79.9	195.51	20.416	0.17871	0.001511
80.1	198.94	21.049	0.18417	0.00159
80.4	202.37	21.701	0.18992	0.001674
80.6	205.8	22.374	0.19597	0.001763
80.8	209.23	23.069	0.20236	0.001859
81.0	212.66	23.787	0.20909	0.00196
81.3	216.09	24.53	0.21619	0.002068
81.5	219.52	25.298	0.22369	0.002183
81.7	222.95	26.093	0.2316	0.002305
82.0	226.38	26.917	0.23997	0.002435
82.2	229.81	27.772	0.2488	0.002573
82.4	233.24	28.658	0.25815	0.00272
82.7	236.67	29.579	0.26803	0.002877
82.9	240.1	30.535	0.27847	0.003042
83.1	243.53	31.529	0.28952	0.003218
83.3	246.96	32.564	0.30121	0.003403
83.6	250.39	33.641	0.31357	0.0036
83.8	253.82	34.763	0.32665	0.003806
84.0	257.25	35.932	0.34046	0.004023
84.3	260.68	37.151	0.35506	0.00425
84.5	264.11	38.423	0.37046	0.004486
84.7	267.54	39.751	0.38671	0.004731
84.9	270.97	41.138	0.40383	0.004983
85.2	274.4	42.587	0.42182	0.005241
85.4	277.83	44.101	0.44072	0.005502
85.6	281.26	45.682	0.46051	0.005762
85.9	284.69	47.335	0.48118	0.006018
86.1	288.12	49.061	0.50269	0.006265
86.3	291.55	50.864	0.525	0.006497
86.6	294.98	52.746	0.54803	0.006706
86.8	298.41	54.709	0.57168	0.006884
87.0	301.84	56.755	0.59579	0.007022
87.2	305.27	58.885	0.6202	0.007108
87.5	308.7	61.1	0.6447	0.007132
87.7	312.13	63.397	0.66902	0.007082
87.9	315.56	65.777	0.69287	0.006946
88.2	318.99	68.235	0.71592	0.006712
88.4	322.42	70.769	0.73781	0.006373
88.6	325.85	73.373	0.75815	0.005922
88.9	329.28	76.04	0.77654	0.005355
89.1	332.71	78.762	0.79259	0.004674
89.3	336.14	81.53	0.80594	0.003888
89.5	339.57	84.333	0.81627	0.003007
89.8	343.0	87.16	0.82331	0.002049
90.0	346.43	90.0	0.82687	0.001039
