theta (deg) 	 time (s) 	 elevationAng (deg) 	 Wcraft (deg/s) 	 alpha (deg/s^2)
68.0	0.0	0.0
68.2	3.22	0.219	0.068
68.4	6.44	0.44	0.06866	0.000204
68.7	9.66	0.663	0.06933	0.00021
68.9	12.88	0.888	0.07002	0.000216
69.1	16.1	1.116	0.07074	0.000222
69.3	19.32	1.346	0.07147	0.000229
69.5	22.54	1.578	0.07223	0.000236
69.7	25.76	1.813	0.07301	0.000243
70.0	28.98	2.05	0.07382	0.00025
70.2	32.2	2.291	0.07465	0.000258
70.4	35.42	2.534	0.0755	0.000266
70.6	38.64	2.779	0.07639	0.000274
70.8	41.86	3.028	0.0773	0.000283
71.1	45.08	3.28	0.07824	0.000292
71.3	48.3	3.535	0.07921	0.000302
71.5	51.52	3.793	0.08021	0.000312
71.7	54.74	4.054	0.08125	0.000322
71.9	57.96	4.319	0.08232	0.000333
72.1	61.18	4.587	0.08343	0.000344
72.4	64.4	4.859	0.08458	0.000356
72.6	67.62	5.135	0.08576	0.000368
72.8	70.84	5.415	0.08699	0.000381
73.0	74.06	5.699	0.08826	0.000395
73.2	77.28	5.987	0.08957	0.000409
73.5	80.5	6.28	0.09094	0.000424
73.7	83.72	6.577	0.09235	0.000439
73.9	86.94	6.879	0.09382	0.000455
74.1	90.16	7.186	0.09534	0.000472
74.3	93.38	7.497	0.09691	0.00049
74.5	96.6	7.815	0.09855	0.000509
74.8	99.82	8.137	0.10025	0.000529
75.0	103.04	8.465	0.10202	0.000549
75.2	106.26	8.8	0.10386	0.000571
75.4	109.48	9.14	0.10577	0.000594
75.6	112.7	9.487	0.10776	0.000618
75.8	115.92	9.84	0.10983	0.000644
76.1	119.14	10.2	0.11199	0.00067
76.3	122.36	10.568	0.11423	0.000698
76.5	125.58	10.943	0.11657	0.000728
76.7	128.8	11.326	0.11902	0.000759
76.9	132.02	11.717	0.12157	0.000792
77.2	135.24	12.117	0.12423	0.000827
77.4	138.46	12.525	0.12701	0.000864
77.6	141.68	12.943	0.12992	0.000903
77.8	144.9	13.371	0.13296	0.000945
78.0	148.12	13.809	0.13614	0.000989
78.2	151.34	14.258	0.13947	0.001035
78.5	154.56	14.718	0.14295	0.001084
78.7	157.78	15.189	0.14661	0.001136
78.9	161.0	15.673	0.15044	0.001192
79.1	164.22	16.17	0.15447	0.001251
79.3	167.44	16.681	0.15869	0.001313
79.5	170.66	17.206	0.16313	0.00138
79.8	173.88	17.746	0.1678	0.00145
80.0	177.1	18.301	0.17271	0.001526
80.2	180.32	18.874	0.17787	0.001606
80.4	183.54	19.463	0.18331	0.001691
80.6	186.76	20.072	0.18905	0.001782
80.9	189.98	20.699	0.19509	0.001879
81.1	193.2	21.348	0.20147	0.001983
81.3	196.42	22.017	0.20821	0.002094
81.5	199.64	22.71	0.21533	0.002212
81.7	202.86	23.427	0.22285	0.002338
81.9	206.08	24.17	0.23081	0.002473
82.2	209.3	24.939	0.23923	0.002617
82.4	212.52	25.738	0.24814	0.002771
82.6	215.74	26.567	0.25758	0.002935
82.8	218.96	27.428	0.26759	0.003111
83.0	222.18	28.323	0.2782	0.003298
83.2	225.4	29.254	0.28945	0.003497
83.5	228.62	30.224	0.30139	0.00371
83.7	231.84	31.234	0.31406	0.003937
83.9	235.06	32.288	0.3275	0.004177
84.1	238.28	33.387	0.34176	0.004433
84.3	241.5	34.536	0.35689	0.004703
84.6	244.72	35.735	0.37294	0.004988
84.8	247.94	36.99	0.38995	0.005287
85.0	251.16	38.303	0.40797	0.0056
85.2	254.38	39.677	0.42703	0.005927
85.4	257.6	41.115	0.44719	0.006264
85.6	260.82	42.623	0.46845	0.00661
85.9	264.04	44.202	0.49085	0.00696
86.1	267.26	45.857	0.51437	0.007311
86.3	270.48	47.591	0.53901	0.007657
86.5	273.7	49.408	0.56471	0.00799
86.7	276.92	51.311	0.59142	0.0083
87.0	280.14	53.302	0.61902	0.008578
87.2	283.36	55.385	0.64736	0.00881
87.4	286.58	57.561	0.67625	0.008981
87.6	289.8	59.831	0.70545	0.009075
87.8	293.02	62.194	0.73465	0.009075
88.0	296.24	64.651	0.76349	0.008963
88.3	299.46	67.197	0.79155	0.008722
88.5	302.68	69.83	0.81837	0.008336
88.7	305.9	72.544	0.84344	0.007793
88.9	309.12	75.331	0.86625	0.007087
89.1	312.34	78.183	0.88625	0.006218
89.3	315.56	81.088	0.90296	0.005194
89.6	318.78	84.035	0.91593	0.004031
89.8	322.0	87.01	0.9248	0.002755
90.0	325.22	90.0	0.9293	0.001398
