theta (deg) 	 time (s) 	 elevationAng (deg) 	 Wcraft (deg/s) 	 alpha (deg/s^2)
67.6	0.0	0.0
67.8	3.29	0.223	0.0677
68.0	6.58	0.448	0.06837	0.000198
68.3	9.87	0.675	0.06904	0.000204
68.5	13.16	0.904	0.06973	0.00021
68.7	16.45	1.136	0.07044	0.000216
68.9	19.74	1.37	0.07117	0.000222
69.2	23.03	1.607	0.07193	0.000229
69.4	26.32	1.846	0.0727	0.000236
69.6	29.61	2.088	0.0735	0.000243
69.8	32.9	2.333	0.07433	0.000251
70.0	36.19	2.58	0.07518	0.000258
70.3	39.48	2.83	0.07606	0.000267
70.5	42.77	3.084	0.07696	0.000275
70.7	46.06	3.34	0.07789	0.000284
70.9	49.35	3.6	0.07886	0.000293
71.1	52.64	3.862	0.07986	0.000303
71.4	55.93	4.128	0.08088	0.000313
71.6	59.22	4.398	0.08195	0.000323
71.8	62.51	4.671	0.08305	0.000334
72.0	65.8	4.948	0.08418	0.000346
72.3	69.09	5.229	0.08536	0.000357
72.5	72.38	5.514	0.08658	0.00037
72.7	75.67	5.803	0.08784	0.000383
72.9	78.96	6.097	0.08914	0.000397
73.1	82.25	6.394	0.0905	0.000411
73.4	85.54	6.697	0.0919	0.000426
73.6	88.83	7.004	0.09335	0.000442
73.8	92.12	7.316	0.09486	0.000458
74.0	95.41	7.633	0.09642	0.000475
74.3	98.7	7.956	0.09805	0.000493
74.5	101.99	8.284	0.09973	0.000512
74.7	105.28	8.618	0.10148	0.000532
74.9	108.57	8.958	0.10331	0.000553
75.1	111.86	9.304	0.1052	0.000576
75.4	115.15	9.657	0.10717	0.000599
75.6	118.44	10.016	0.10922	0.000623
75.8	121.73	10.383	0.11136	0.000649
76.0	125.02	10.756	0.11358	0.000676
76.2	128.31	11.138	0.1159	0.000705
76.5	131.6	11.527	0.11832	0.000735
76.7	134.89	11.925	0.12084	0.000767
76.9	138.18	12.331	0.12347	0.0008
77.1	141.47	12.746	0.12622	0.000836
77.4	144.76	13.171	0.1291	0.000873
77.6	148.05	13.606	0.1321	0.000913
77.8	151.34	14.051	0.13524	0.000955
78.0	154.63	14.507	0.13853	0.001
78.2	157.92	14.974	0.14198	0.001047
78.5	161.21	15.453	0.14559	0.001097
78.7	164.5	15.944	0.14937	0.00115
78.9	167.79	16.449	0.15334	0.001206
79.1	171.08	16.967	0.15751	0.001266
79.4	174.37	17.5	0.16188	0.00133
79.6	177.66	18.048	0.16648	0.001397
79.8	180.95	18.611	0.17131	0.001469
80.0	184.24	19.192	0.1764	0.001546
80.2	187.53	19.79	0.18176	0.001627
80.5	190.82	20.407	0.1874	0.001714
80.7	194.11	21.043	0.19334	0.001807
80.9	197.4	21.7	0.19961	0.001905
81.1	200.69	22.378	0.20623	0.002011
81.4	203.98	23.08	0.21321	0.002123
81.6	207.27	23.806	0.22059	0.002242
81.8	210.56	24.557	0.22839	0.00237
82.0	213.85	25.336	0.23664	0.002506
82.2	217.14	26.143	0.24536	0.002652
82.5	220.43	26.981	0.2546	0.002807
82.7	223.72	27.851	0.26437	0.002972
82.9	227.01	28.755	0.27473	0.003148
83.1	230.3	29.695	0.28571	0.003335
83.3	233.59	30.673	0.29734	0.003535
83.6	236.88	31.692	0.30967	0.003746
83.8	240.17	32.754	0.32273	0.003971
84.0	243.46	33.862	0.33658	0.004208
84.2	246.75	35.018	0.35125	0.004459
84.5	250.04	36.225	0.36679	0.004723
84.7	253.33	37.486	0.38324	0.004999
84.9	256.62	38.804	0.40064	0.005288
85.1	259.91	40.183	0.41902	0.005587
85.3	263.2	41.625	0.43842	0.005894
85.6	266.49	43.135	0.45885	0.006209
85.8	269.78	44.716	0.48032	0.006526
86.0	273.07	46.37	0.50283	0.006841
86.2	276.36	48.102	0.52636	0.00715
86.5	279.65	49.915	0.55086	0.007444
86.7	282.94	51.811	0.57625	0.007716
86.9	286.23	53.793	0.60242	0.007956
87.1	289.52	55.864	0.62924	0.008151
87.3	292.81	58.024	0.65652	0.008289
87.6	296.1	60.275	0.68401	0.008355
87.8	299.39	62.616	0.71144	0.008334
88.0	302.68	65.046	0.73846	0.008211
88.2	305.97	67.562	0.76468	0.007971
88.4	309.26	70.161	0.78969	0.0076
88.7	312.55	72.836	0.81302	0.00709
88.9	315.84	75.581	0.83419	0.006435
89.1	319.13	78.387	0.85274	0.005635
89.3	322.42	81.244	0.8682	0.0047
89.6	325.71	84.14	0.88019	0.003643
89.8	329.0	87.063	0.88837	0.002487
90.0	332.29	90.0	0.89253	0.001262
