theta (deg) 	 time (s) 	 elevationAng (deg) 	 Wcraft (deg/s) 	 alpha (deg/s^2)
66.4	0.0	0.0
66.7	3.51	0.234	0.0669
66.9	7.02	0.471	0.06754	0.000182
67.1	10.53	0.71	0.0682	0.000188
67.4	14.04	0.952	0.06887	0.000193
67.6	17.55	1.195	0.06957	0.000199
67.8	21.06	1.442	0.07029	0.000205
68.1	24.57	1.691	0.07103	0.000211
68.3	28.08	1.942	0.07179	0.000217
68.5	31.59	2.197	0.07257	0.000224
68.8	35.1	2.454	0.07338	0.000231
69.0	38.61	2.714	0.07421	0.000238
69.2	42.12	2.977	0.07507	0.000245
69.5	45.63	3.243	0.07596	0.000253
69.7	49.14	3.513	0.07688	0.000261
69.9	52.65	3.786	0.07782	0.000269
70.2	56.16	4.062	0.07879	0.000278
70.4	59.67	4.342	0.0798	0.000287
70.6	63.18	4.625	0.08084	0.000297
70.9	66.69	4.912	0.08192	0.000307
71.1	70.2	5.203	0.08303	0.000317
71.3	73.71	5.498	0.08418	0.000328
71.6	77.22	5.797	0.08537	0.000339
71.8	80.73	6.101	0.0866	0.000351
72.0	84.24	6.409	0.08788	0.000364
72.3	87.75	6.722	0.0892	0.000377
72.5	91.26	7.039	0.09056	0.00039
72.7	94.77	7.361	0.09198	0.000405
73.0	98.28	7.689	0.09345	0.000419
73.2	101.79	8.022	0.09498	0.000435
73.4	105.3	8.36	0.09656	0.000451
73.7	108.81	8.704	0.0982	0.000469
73.9	112.32	9.055	0.09991	0.000487
74.1	115.83	9.411	0.10168	0.000506
74.4	119.34	9.774	0.10352	0.000525
74.6	122.85	10.143	0.10544	0.000546
74.8	126.36	10.52	0.10743	0.000568
75.1	129.87	10.904	0.1095	0.000592
75.3	133.38	11.295	0.11166	0.000616
75.5	136.89	11.694	0.11391	0.000642
75.8	140.4	12.102	0.11625	0.000669
76.0	143.91	12.518	0.1187	0.000697
76.2	147.42	12.943	0.12125	0.000727
76.5	150.93	13.377	0.12391	0.000759
76.7	154.44	13.821	0.12668	0.000793
76.9	157.95	14.275	0.12959	0.000828
77.2	161.46	14.74	0.13262	0.000865
77.4	164.97	15.216	0.13579	0.000905
77.6	168.48	15.704	0.13911	0.000947
77.9	171.99	16.203	0.14258	0.000991
78.1	175.5	16.716	0.14622	0.001038
78.3	179.01	17.242	0.15004	0.001088
78.6	182.52	17.782	0.15404	0.001141
78.8	186.03	18.336	0.15823	0.001197
79.0	189.54	18.906	0.16263	0.001256
79.3	193.05	19.493	0.16726	0.001319
79.5	196.56	20.096	0.17211	0.001386
79.7	200.07	20.717	0.17722	0.001457
80.0	203.58	21.357	0.18259	0.001533
80.2	207.09	22.017	0.18825	0.001613
80.4	210.6	22.698	0.1942	0.001698
80.7	214.11	23.4	0.20047	0.001789
80.9	217.62	24.126	0.20708	0.001886
81.1	221.13	24.876	0.21405	0.001988
81.4	224.64	25.652	0.2214	0.002097
81.6	228.15	26.455	0.22916	0.002213
81.8	231.66	27.287	0.23735	0.002337
82.1	235.17	28.15	0.246	0.002467
82.3	238.68	29.044	0.25513	0.002606
82.5	242.19	29.972	0.26478	0.002754
82.8	245.7	30.936	0.27498	0.00291
83.0	249.21	31.937	0.28576	0.003075
83.2	252.72	32.979	0.29714	0.003249
83.5	256.23	34.062	0.30917	0.003432
83.7	259.74	35.191	0.32188	0.003625
83.9	263.25	36.366	0.33529	0.003827
84.2	266.76	37.591	0.34945	0.004038
84.4	270.27	38.868	0.36437	0.004257
84.6	273.78	40.2	0.38008	0.004483
84.9	277.29	41.59	0.39661	0.004715
85.1	280.8	43.041	0.41397	0.004952
85.3	284.31	44.556	0.43215	0.00519
85.6	287.82	46.137	0.45117	0.005426
85.8	291.33	47.788	0.471	0.005657
86.0	294.84	49.511	0.49161	0.005878
86.3	298.35	51.309	0.51293	0.006084
86.5	301.86	53.184	0.5349	0.006268
86.7	305.37	55.137	0.5574	0.006421
87.0	308.88	57.171	0.58031	0.006536
87.2	312.39	59.287	0.60346	0.006603
87.4	315.9	61.483	0.62663	0.006611
87.7	319.41	63.76	0.64959	0.006551
87.9	322.92	66.115	0.67206	0.006411
88.1	326.43	68.547	0.69373	0.006184
88.4	329.94	71.05	0.71427	0.00586
88.6	333.45	73.621	0.73332	0.005435
88.8	336.96	76.251	0.75052	0.004906
89.1	340.47	78.934	0.76551	0.004277
89.3	343.98	81.661	0.77796	0.003552
89.5	347.49	84.422	0.78757	0.002744
89.8	351.0	87.205	0.79413	0.001869
90.0	354.51	90.0	0.79745	0.000947
