theta (deg) 	 time (s) 	 elevationAng (deg) 	 Wcraft (deg/s) 	 alpha (deg/s^2)
68.4	0.0	0.0
68.6	3.14	0.215	0.0683
68.9	6.28	0.431	0.06894	0.00021
69.1	9.42	0.65	0.06962	0.000216
69.3	12.56	0.871	0.07032	0.000222
69.5	15.7	1.094	0.07104	0.000229
69.7	18.84	1.32	0.07178	0.000236
69.9	21.98	1.548	0.07254	0.000243
70.1	25.12	1.779	0.07333	0.00025
70.3	28.26	2.012	0.07414	0.000258
70.6	31.4	2.247	0.07497	0.000266
70.8	34.54	2.486	0.07583	0.000274
71.0	37.68	2.727	0.07672	0.000283
71.2	40.82	2.971	0.07764	0.000292
71.4	43.96	3.218	0.07859	0.000301
71.6	47.1	3.468	0.07957	0.000311
71.8	50.24	3.721	0.08058	0.000321
72.1	53.38	3.978	0.08162	0.000332
72.3	56.52	4.238	0.0827	0.000343
72.5	59.66	4.501	0.08382	0.000355
72.7	62.8	4.768	0.08497	0.000367
72.9	65.94	5.039	0.08616	0.00038
73.1	69.08	5.314	0.0874	0.000393
73.3	72.22	5.593	0.08868	0.000407
73.6	75.36	5.876	0.09001	0.000422
73.8	78.5	6.163	0.09138	0.000437
74.0	81.64	6.455	0.09281	0.000453
74.2	84.78	6.751	0.09428	0.00047
74.4	87.92	7.052	0.09582	0.000488
74.6	91.06	7.358	0.09741	0.000506
74.8	94.2	7.67	0.09906	0.000526
75.0	97.34	7.986	0.10078	0.000546
75.3	100.48	8.309	0.10256	0.000568
75.5	103.62	8.637	0.10442	0.00059
75.7	106.76	8.971	0.10634	0.000614
75.9	109.9	9.312	0.10835	0.000639
76.1	113.04	9.659	0.11044	0.000665
76.3	116.18	10.013	0.11262	0.000693
76.5	119.32	10.374	0.11489	0.000722
76.8	122.46	10.743	0.11726	0.000753
77.0	125.6	11.119	0.11973	0.000785
77.2	128.74	11.504	0.1223	0.00082
77.4	131.88	11.896	0.125	0.000856
77.6	135.02	12.298	0.12781	0.000895
77.8	138.16	12.709	0.13075	0.000935
78.0	141.3	13.13	0.13382	0.000978
78.3	144.44	13.561	0.13704	0.001024
78.5	147.58	14.002	0.14041	0.001072
78.7	150.72	14.454	0.14395	0.001124
78.9	153.86	14.919	0.14765	0.001178
79.1	157.0	15.395	0.15153	0.001236
79.3	160.14	15.884	0.15561	0.001297
79.5	163.28	16.387	0.1599	0.001363
79.7	166.42	16.903	0.1644	0.001432
80.0	169.56	17.435	0.16913	0.001506
80.2	172.7	17.982	0.17412	0.001585
80.4	175.84	18.546	0.17936	0.001669
80.6	178.98	19.127	0.18489	0.001759
80.8	182.12	19.727	0.19072	0.001855
81.0	185.26	20.346	0.19688	0.001957
81.2	188.4	20.985	0.20337	0.002066
81.5	191.54	21.646	0.21023	0.002183
81.7	194.68	22.329	0.21748	0.002307
81.9	197.82	23.037	0.22515	0.00244
82.1	200.96	23.77	0.23327	0.002583
82.3	204.1	24.531	0.24187	0.002735
82.5	207.24	25.319	0.25098	0.002898
82.7	210.38	26.139	0.26064	0.003073
83.0	213.52	26.99	0.27088	0.003259
83.2	216.66	27.876	0.28175	0.003458
83.4	219.8	28.798	0.29329	0.003671
83.6	222.94	29.758	0.30555	0.003899
83.8	226.08	30.76	0.31857	0.004141
84.0	229.22	31.804	0.3324	0.0044
84.2	232.36	32.895	0.34709	0.004674
84.4	235.5	34.036	0.3627	0.004966
84.7	238.64	35.228	0.37928	0.005274
84.9	241.78	36.475	0.39687	0.005599
85.1	244.92	37.781	0.41555	0.00594
85.3	248.06	39.15	0.43534	0.006297
85.5	251.2	40.584	0.45629	0.006667
85.7	254.34	42.088	0.47845	0.007048
85.9	257.48	43.665	0.50182	0.007436
86.2	260.62	45.32	0.52642	0.007827
86.4	263.76	47.056	0.55225	0.008215
86.6	266.9	48.877	0.57925	0.008592
86.8	270.04	50.786	0.60737	0.008947
87.0	273.18	52.787	0.63651	0.009269
87.2	276.32	54.882	0.66651	0.009543
87.4	279.46	57.073	0.69717	0.009754
87.7	282.6	59.362	0.72823	0.009882
87.9	285.74	61.749	0.75937	0.009909
88.1	288.88	64.233	0.79022	0.009812
88.3	292.02	66.812	0.82031	0.009573
88.5	295.16	69.481	0.84914	0.009172
88.7	298.3	72.235	0.87615	0.008595
88.9	301.44	75.066	0.90078	0.007834
89.1	304.58	77.966	0.92243	0.006887
89.4	307.72	80.922	0.94054	0.005762
89.6	310.86	83.923	0.95462	0.004478
89.8	314.0	86.954	0.96425	0.003063
90.0	317.14	90.0	0.96914	0.001556
