theta (deg) 	 time (s) 	 elevationAng (deg) 	 Wcraft (deg/s) 	 alpha (deg/s^2)
67.2	0.0	0.0
67.4	3.36	0.227	0.0674
67.7	6.72	0.456	0.06809	0.000192
67.9	10.08	0.687	0.06876	0.000198
68.1	13.44	0.921	0.06945	0.000204
68.3	16.8	1.156	0.07015	0.00021
68.6	20.16	1.395	0.07088	0.000216
68.8	23.52	1.636	0.07163	0.000223
69.0	26.88	1.879	0.0724	0.000229
69.2	30.24	2.125	0.07319	0.000236
69.5	33.6	2.374	0.07401	0.000244
69.7	36.96	2.626	0.07485	0.000251
69.9	40.32	2.881	0.07573	0.000259
70.1	43.68	3.138	0.07662	0.000267
70.4	47.04	3.399	0.07755	0.000276
70.6	50.4	3.663	0.07851	0.000285
70.8	53.76	3.93	0.0795	0.000294
71.0	57.12	4.201	0.08052	0.000304
71.3	60.48	4.475	0.08158	0.000314
71.5	63.84	4.753	0.08267	0.000325
71.7	67.2	5.035	0.0838	0.000336
71.9	70.56	5.321	0.08496	0.000347
72.2	73.92	5.611	0.08617	0.000359
72.4	77.28	5.905	0.08742	0.000372
72.6	80.64	6.203	0.08872	0.000385
72.8	84.0	6.506	0.09006	0.000399
73.1	87.36	6.813	0.09145	0.000413
73.3	90.72	7.126	0.09289	0.000429
73.5	94.08	7.443	0.09439	0.000445
73.7	97.44	7.766	0.09594	0.000461
74.0	100.8	8.094	0.09755	0.000479
74.2	104.16	8.427	0.09922	0.000497
74.4	107.52	8.767	0.10095	0.000516
74.6	110.88	9.113	0.10276	0.000537
74.9	114.24	9.464	0.10463	0.000558
75.1	117.6	9.823	0.10659	0.00058
75.3	120.96	10.188	0.10862	0.000604
75.6	124.32	10.56	0.11073	0.000629
75.8	127.68	10.94	0.11293	0.000655
76.0	131.04	11.328	0.11523	0.000682
76.2	134.4	11.723	0.11762	0.000712
76.5	137.76	12.127	0.12012	0.000742
76.7	141.12	12.54	0.12272	0.000775
76.9	144.48	12.962	0.12544	0.000809
77.1	147.84	13.393	0.12828	0.000845
77.4	151.2	13.835	0.13125	0.000883
77.6	154.56	14.286	0.13436	0.000924
77.8	157.92	14.749	0.13761	0.000966
78.0	161.28	15.223	0.14101	0.001012
78.3	164.64	15.709	0.14457	0.00106
78.5	168.0	16.208	0.14831	0.001111
78.7	171.36	16.72	0.15222	0.001165
78.9	174.72	17.246	0.15633	0.001222
79.2	178.08	17.786	0.16065	0.001283
79.4	181.44	18.341	0.16518	0.001348
79.6	184.8	18.913	0.16994	0.001416
79.8	188.16	19.501	0.17495	0.001489
80.1	191.52	20.107	0.18022	0.001567
80.3	194.88	20.732	0.18577	0.00165
80.5	198.24	21.376	0.19162	0.001738
80.7	201.6	22.042	0.19778	0.001832
81.0	204.96	22.728	0.20428	0.001932
81.2	208.32	23.438	0.21113	0.002039
81.4	211.68	24.173	0.21837	0.002152
81.6	215.04	24.933	0.22602	0.002274
81.9	218.4	25.72	0.23409	0.002402
82.1	221.76	26.536	0.24264	0.00254
82.3	225.12	27.382	0.25167	0.002686
82.6	228.48	28.261	0.26123	0.002842
82.8	231.84	29.173	0.27134	0.003008
83.0	235.2	30.122	0.28205	0.003184
83.2	238.56	31.108	0.29338	0.003371
83.5	241.92	32.135	0.30538	0.003569
83.7	245.28	33.205	0.31809	0.003779
83.9	248.64	34.32	0.33154	0.004
84.1	252.0	35.483	0.34578	0.004233
84.4	255.36	36.696	0.36083	0.004478
84.6	258.72	37.963	0.37675	0.004733
84.8	262.08	39.286	0.39356	0.004999
85.0	265.44	40.67	0.41129	0.005273
85.3	268.8	42.115	0.42997	0.005554
85.5	272.16	43.627	0.44961	0.00584
85.7	275.52	45.209	0.47022	0.006128
85.9	278.88	46.862	0.49178	0.006412
86.2	282.24	48.592	0.51427	0.006687
86.4	285.6	50.4	0.53763	0.006948
86.6	288.96	52.289	0.5618	0.007187
86.8	292.32	54.262	0.58666	0.007393
87.1	295.68	56.32	0.61208	0.007558
87.3	299.04	58.465	0.63786	0.007668
87.5	302.4	60.697	0.66379	0.007711
87.7	305.76	63.016	0.6896	0.007673
88.0	309.12	65.421	0.71496	0.007542
88.2	312.48	67.908	0.73953	0.007305
88.4	315.84	70.473	0.7629	0.00695
88.6	319.2	73.112	0.78466	0.00647
88.9	322.56	75.817	0.80437	0.005861
89.1	325.92	78.579	0.8216	0.005124
89.3	329.28	81.391	0.83595	0.004267
89.5	332.64	84.239	0.84706	0.003304
89.8	336.0	87.113	0.85464	0.002254
90.0	339.36	90.0	0.85848	0.001143
